1.524215218540482475e+00,-5.264446027931943384e+00,3.853916950810734932e+01
-2.625412647415615641e+00,-6.875566397382198325e+00,3.576761255220202429e+01
-3.028790595722627543e+00,-6.820088887597134608e+00,3.597994543965182856e+01
-3.003465014012833390e+00,-6.849098876087336585e+00,3.621422875024945398e+01
1.155912122762004612e+00,-1.279915924533062688e+00,3.267786800676648795e+01
-1.145452822508414403e+00,-7.666741482069453717e+00,3.124497677403370588e+01
-1.020342294281039308e+01,-7.395840681607799283e+00,3.295713762022150917e+01
-1.076240857950148744e+01,-7.168921889039779671e+00,3.153355617898496632e+01
-2.208834123541727923e+00,-3.751885601183103880e+00,3.066067330167113880e+01
-3.033281675730861160e+00,-3.145829918658074931e+00,3.205126791362524585e+01
-7.905706050043300515e+00,-4.171959924707321576e+00,3.422616022245545508e+01
-1.294545343037674634e+01,-4.487624472207984105e+00,3.361199168754477284e+01
-1.164064600030568819e+01,-6.243519925659113845e+00,3.166531725458376911e+01
-9.709409794854007458e+00,-4.286556395843661882e+00,2.942948722500536718e+01
-8.978572654777982720e+00,-3.539337923264291419e+00,2.866148478787802389e+01
